years,15 age +  Risk of poverty,number of poors {thousand person},"  
Illiterate"," 
Literate with no degree",Less than          high school," 
High school or equivalent","               
Higher           education       ",poverty rate  %,"                       
Illiterate"," 
Literate with no degree"," 
Less than          high school"," 
High school or equivalent","                       
Higher           education       ",

2006,,,,,,,,,,,,,,
,%50 - 50%,,  1 969,  1 004,  3 783,   463,   24,,33,28,14,5,1,
,%60 - 60%,,  2 486,  1 327,  5 605,   825,   48,,41,37,21,10,1,
2007,,,,,,,,,,,,,,
,%50 - 50%,,  1 842,   919,  3 392,   486,   31,,31,25,12,5,1,
,%60 - 60%,,  2 426,  1 263,  5 302,   807,   61,,40,35,20,9,2,
2008,,,,,,,,,,,,,,
,%50 - 50%,,  1 798,   938,  3 647,   491,   29,,30,24,13,5,1,
,%60 - 60%,,  2 447,  1 302,  5 696,   796,   51,,30,34,21,8,1,
2009,,,,,,,,,,,,,,
,%50 - 50%,,  2 010,  1 071,  3 916,   488,   54,,32,27,14,5,1,
,%60 - 60%,,  2 571,  1 442,  6 062,   815,   84,,42,37,21,8,2,
2010,,,,,,,,,,,,,,
,%50 - 50%,,  1 733,  1 085,  4 055,   424,   50,,29,27,14,4,1,
,%60 - 60%,,  2 359,  1 471,  5 933,   731,   86,,39,37,21,8,2,
2011,,,,,,,,,,,,,,
,%50 - 50%,,  1 708,  1 072,  3 789,   552,   55,,29,27,13,6,1,
,%60 - 60%,,  2 265,  1 420,  5 792,   844,   103,,38,36,20,9,2,
2012,,,,,,,,,,,,,,
,%50 - 50%,,  1 800,  1 044,  3 948,   566,   66,,30,26,14,6,1,
,%60 - 60%,,  2 336,  1 355,  5 839,   892,   114,,39,34,20,9,2,
2013,,,,,,,,,,,,,,
,%50 - 50%,,  1 577,   938,  3 696,   537,   115,,27,24,12,6,2,
,%60 - 60%,,  2 222,  1 324,  5 952,   881,   175,,37,33,20,9,3,
2014,,,,,,,,,,,,,,
,%50 - 50%,,  1 667,  1 043,  3 731,   553,   90,,28,25,12,6,1,
,%60 - 60%,,  2 297,  1 418,  5 861,   910,   153,,38,34,20,9,2,
2015,,,,,,,,,,,,,,
,%50 - 50%,,  1 637,   957,  3 808,   576,   129,,27,24,13,6,2,
,%60 - 60%,,  2 189,  1 375,  6 039,  1 038,   213,,36,34,20,10,3,
2016,,,,,,,,,,,,,,
,%50 - 50%,,  1 523,   929,  3 734,   642,   150,,26,24,13,6,2,
,%60 - 60%,,  2 053,  1 290,  5 872,  1 079,   274,,35,34,20,10,3,
2017,,,,,,,,,,,,,,
,%50 - 50%,,  1 451,   843,  3 566,   599,   139,,25,22,12,5,2,
,%60 - 60%,,  2 005,  1 200,  5 632,  1 036,   296,,35,31,19,10,3,
2018,,,,,,,,,,,,,,
,%50 - 50%,,  1 529,   906,  3 708,   639,   207,,28,24,12,6,2,
,%60 - 60%,,  2 016,  1 275,  6 057,  1 143,   351,,36,33,20,10,4,
2019,,,,,,,,,,,,,,
,%50 - 50%,,  1 405,   840,  4 114,   791,   251,,26,22,14,7,3,
,%60 - 60%,,  1 895,  1 230,  6 296,  1 361,   422,,35,33,20,12,4,
2020,,,,,,,,,,,,,,
,%50 - 50%,,  1 386,   928,  4 296,  1 042,   336,,26,26,14,8,3,
,%60 - 60%,,  1 861,  1 289,  6 486,  1 621,   538,,36,36,21,13,5,
2021,,,,,,,,,,,,,,
,%50 - 50%,,  1 203,   860,  4 178,  1 005,   292,,24,24,14,8,2,
,%60 - 60%,,  1 727,  1 202,  6 310,  1 684,   528,,34,34,21,13,5,
2022,,,,,,,,,,,,,,
,%50 - 50%,   1 353,   823,  4 155,  1 090,    326,,28,25,14,8,3,
,%60 - 60%,   1 879,  1 192,  6 466,  1 804,   548,,28,35,21,13,4,



